Injection,Layer,TensorIndex,Bit
79,conv2d_1,"(1, 2, 9, 9)",19
80,conv2d_1,"(0, 0, 11, 13)",29
81,conv2d_1,"(1, 1, 10, 4)",2
82,conv2d_1,"(2, 2, 9, 13)",30
83,conv2d_1,"(2, 0, 3, 1)",9
84,conv2d_1,"(0, 1, 7, 9)",11
85,conv2d_1,"(1, 0, 6, 3)",25
86,conv2d_1,"(0, 1, 0, 1)",7
87,conv2d_1,"(0, 0, 11, 11)",2
88,conv2d_1,"(2, 2, 3, 13)",20
89,conv2d_1,"(1, 2, 3, 1)",9
90,conv2d_1,"(2, 1, 0, 5)",29
91,conv2d_1,"(0, 1, 5, 11)",9
92,conv2d_1,"(1, 0, 6, 7)",10
93,conv2d_1,"(2, 0, 10, 9)",3
94,conv2d_1,"(0, 2, 9, 13)",15
95,conv2d_1,"(2, 2, 8, 2)",5
96,conv2d_1,"(1, 2, 9, 5)",4
97,conv2d_1,"(2, 1, 5, 14)",25
98,conv2d_1,"(0, 2, 8, 8)",28
99,conv2d_1,"(1, 2, 14, 15)",31
100,conv2d_1,"(0, 0, 0, 13)",5
101,conv2d_1,"(2, 1, 1, 15)",11
102,conv2d_1,"(0, 1, 3, 5)",10
103,conv2d_2,"(2, 2, 10, 11)",29
104,conv2d_2,"(0, 0, 2, 7)",28
105,conv2d_2,"(0, 1, 6, 9)",1
106,conv2d_2,"(1, 1, 13, 10)",22
107,conv2d_2,"(1, 2, 14, 4)",29
108,conv2d_2,"(1, 1, 1, 15)",26
109,conv2d_2,"(0, 1, 2, 4)",11
110,conv2d_2,"(0, 1, 6, 13)",0
111,conv2d_2,"(1, 2, 2, 2)",23
112,conv2d_2,"(0, 2, 6, 7)",22
113,conv2d_2,"(0, 0, 8, 10)",6
114,conv2d_2,"(1, 1, 2, 2)",2
115,conv2d_2,"(0, 1, 13, 12)",16
116,conv2d_2,"(2, 2, 8, 2)",20
117,conv2d_2,"(1, 0, 8, 4)",31
118,conv2d_2,"(0, 2, 8, 10)",20
119,conv2d_2,"(1, 2, 6, 11)",1
120,conv2d_2,"(1, 2, 4, 12)",10
121,conv2d_2,"(1, 2, 2, 12)",27
122,conv2d_2,"(2, 0, 8, 6)",7
123,conv2d_2,"(1, 0, 14, 0)",12
124,conv2d_2,"(1, 2, 8, 2)",1
125,conv2d_2,"(1, 0, 14, 11)",13
126,conv2d_2,"(0, 0, 2, 15)",2
127,conv2d_2,"(0, 0, 7, 3)",5
128,conv2d_2,"(1, 0, 5, 10)",8
129,conv2d_2,"(2, 0, 2, 10)",17
130,conv2d_2,"(0, 2, 12, 9)",10
131,conv2d_2,"(0, 0, 7, 2)",6
132,conv2d_2,"(0, 2, 6, 9)",20
133,conv2d_2,"(1, 1, 2, 9)",4
134,conv2d_2,"(2, 0, 11, 14)",11
135,conv2d_2,"(2, 0, 14, 8)",6
136,conv2d_2,"(0, 1, 8, 1)",15
137,conv2d_2,"(1, 2, 4, 1)",23
138,conv2d_2,"(1, 1, 5, 9)",6
139,conv2d_2,"(1, 2, 12, 0)",3
140,conv2d_2,"(0, 2, 15, 7)",21
141,conv2d_2,"(2, 0, 10, 1)",19
142,conv2d_2,"(2, 1, 11, 14)",13
143,conv2d_2,"(1, 0, 15, 9)",13
144,conv2d_2,"(2, 1, 8, 4)",24
145,conv2d_2,"(2, 1, 4, 4)",9
146,conv2d_2,"(0, 1, 2, 5)",15
147,conv2d_2,"(0, 2, 1, 2)",24
148,conv2d_2,"(1, 2, 13, 12)",19
149,conv2d_2,"(2, 2, 1, 11)",19
150,conv2d_2,"(1, 0, 2, 10)",4
151,conv2d_2,"(1, 2, 14, 5)",30
152,conv2d_2,"(0, 2, 1, 12)",5
153,conv2d_2,"(2, 2, 6, 4)",5
154,conv2d_2,"(0, 0, 9, 5)",4
155,conv2d_2,"(1, 2, 8, 11)",29
156,conv2d_2,"(1, 0, 8, 11)",13
157,conv2d_2,"(0, 2, 8, 11)",2
158,conv2d_2,"(2, 0, 8, 3)",24
159,conv2d_2,"(2, 0, 6, 12)",28
160,conv2d_2,"(1, 0, 4, 0)",29
161,conv2d_2,"(0, 0, 2, 3)",16
162,conv2d_2,"(1, 0, 3, 1)",31
163,conv2d_2,"(2, 0, 15, 15)",24
164,conv2d_2,"(1, 2, 2, 8)",20
165,conv2d_2,"(0, 2, 13, 15)",31
166,conv2d_2,"(2, 0, 0, 13)",29
167,conv2d_2,"(2, 2, 8, 10)",2
168,conv2d_2,"(1, 2, 2, 13)",25
169,conv2d_2,"(0, 0, 15, 11)",22
170,conv2d_2,"(0, 0, 15, 3)",18
171,conv2d_2,"(0, 1, 8, 7)",3
172,conv2d_2,"(1, 1, 15, 4)",18
173,conv2d_2,"(1, 1, 3, 0)",14
174,conv2d_2,"(0, 2, 14, 10)",12
175,conv2d_2,"(1, 2, 2, 10)",2
176,conv2d_2,"(2, 0, 2, 2)",19
177,conv2d_2,"(1, 2, 3, 9)",18
178,conv2d_2,"(1, 1, 8, 6)",2
179,conv2d_2,"(2, 0, 5, 7)",13
180,conv2d_2,"(1, 2, 6, 13)",20
181,conv2d_2,"(2, 0, 13, 12)",0
182,conv2d_2,"(0, 2, 9, 4)",11
183,conv2d_2,"(1, 0, 6, 4)",7
184,conv2d_2,"(0, 1, 15, 14)",3
185,conv2d_2,"(2, 0, 8, 13)",30
186,conv2d_2,"(1, 0, 6, 7)",7
187,conv2d_2,"(0, 1, 5, 1)",13
188,conv2d_2,"(2, 1, 14, 3)",12
189,conv2d_3,"(2, 0, 11, 1)",13
190,conv2d_3,"(2, 0, 8, 11)",18
191,conv2d_3,"(2, 1, 3, 0)",1
192,conv2d_3,"(0, 2, 3, 13)",1
193,conv2d_3,"(1, 2, 9, 0)",21
194,conv2d_3,"(2, 2, 5, 11)",26
195,conv2d_3,"(2, 2, 5, 3)",27
196,conv2d_3,"(2, 1, 9, 5)",21
197,conv2d_3,"(1, 2, 14, 0)",14
198,conv2d_3,"(0, 0, 9, 10)",11
199,conv2d_3,"(1, 0, 2, 1)",13
200,conv2d_3,"(0, 2, 5, 11)",25
201,conv2d_3,"(2, 1, 15, 14)",16
202,conv2d_3,"(0, 2, 5, 7)",14
203,conv2d_3,"(0, 1, 7, 4)",19
204,conv2d_3,"(2, 0, 1, 8)",20
205,conv2d_3,"(2, 0, 12, 4)",21
206,conv2d_3,"(1, 2, 13, 10)",10
207,conv2d_3,"(1, 2, 12, 2)",19
208,conv2d_3,"(2, 0, 12, 10)",28
209,conv2d_3,"(1, 1, 13, 0)",18
210,conv2d_3,"(1, 1, 8, 5)",8
211,conv2d_3,"(2, 1, 2, 13)",21
212,conv2d_3,"(0, 0, 5, 9)",7
213,conv2d_3,"(2, 0, 5, 2)",13
214,conv2d_3,"(1, 2, 5, 3)",31
215,conv2d_3,"(2, 2, 5, 15)",30
216,conv2d_3,"(0, 0, 11, 3)",21
217,conv2d_3,"(2, 0, 12, 7)",14
218,conv2d_3,"(1, 2, 4, 10)",20
219,conv2d_3,"(0, 2, 4, 15)",3
220,conv2d_3,"(0, 1, 4, 11)",5
221,conv2d_3,"(1, 2, 9, 6)",31
222,conv2d_3,"(1, 0, 1, 3)",2
223,conv2d_3,"(2, 0, 8, 14)",28
224,conv2d_3,"(1, 1, 15, 8)",29
225,conv2d_3,"(1, 2, 10, 6)",14
226,conv2d_3,"(1, 2, 1, 14)",9
227,conv2d_3,"(1, 2, 6, 3)",8
228,conv2d_3,"(1, 1, 5, 6)",6
229,conv2d_3,"(2, 0, 5, 15)",2
230,conv2d_3,"(0, 2, 3, 9)",12
231,conv2d_3,"(0, 2, 4, 7)",31
232,conv2d_3,"(1, 0, 15, 8)",3
233,conv2d_3,"(1, 1, 2, 7)",31
234,conv2d_3,"(1, 1, 14, 9)",22
235,conv2d_3,"(0, 2, 1, 8)",21
236,conv2d_3,"(2, 1, 5, 15)",27
237,conv2d_3,"(0, 0, 5, 5)",17
238,conv2d_3,"(0, 2, 8, 9)",27
239,conv2d_3,"(2, 1, 4, 0)",21
240,conv2d_3,"(1, 0, 10, 9)",31
241,conv2d_3,"(2, 2, 10, 3)",15
242,conv2d_3,"(1, 2, 4, 6)",6
243,conv2d_3,"(0, 1, 9, 13)",11
244,conv2d_3,"(2, 1, 11, 7)",14
245,conv2d_3,"(2, 1, 6, 12)",17
246,conv2d_3,"(2, 2, 1, 5)",11
247,conv2d_3,"(2, 2, 0, 9)",4
248,conv2d_3,"(2, 1, 8, 14)",28
249,conv2d_3,"(1, 2, 14, 14)",8
250,conv2d_3,"(1, 1, 4, 11)",17
251,conv2d_3,"(1, 2, 8, 14)",8
252,conv2d_3,"(0, 0, 10, 11)",10
253,conv2d_3,"(2, 1, 9, 15)",25
254,conv2d_3,"(2, 2, 12, 13)",18
255,conv2d_3,"(1, 0, 3, 6)",14
256,conv2d_3,"(0, 1, 14, 9)",8
257,conv2d_3,"(0, 0, 11, 8)",21
258,conv2d_3,"(2, 2, 14, 13)",18
259,conv2d_3,"(0, 1, 8, 5)",17
260,conv2d_3,"(1, 1, 14, 0)",29
261,conv2d_3,"(0, 2, 11, 5)",11
262,conv2d_3,"(2, 2, 0, 5)",6
263,conv2d_3,"(1, 1, 10, 9)",0
264,conv2d_3,"(0, 2, 11, 1)",24
265,conv2d_3,"(1, 2, 14, 3)",0
266,conv2d_3,"(2, 1, 2, 7)",18
267,conv2d_3,"(0, 2, 5, 9)",18
268,conv2d_3,"(1, 1, 4, 3)",24
269,conv2d_3,"(0, 1, 1, 15)",30
270,conv2d_3,"(0, 2, 4, 3)",18
271,conv2d_3,"(1, 1, 5, 0)",24
272,conv2d_3,"(1, 0, 5, 7)",22
273,conv2d_3,"(0, 2, 11, 7)",11
274,conv2d_3,"(2, 0, 0, 10)",9
275,conv2d_4,"(1, 0, 9, 5)",14
276,conv2d_4,"(0, 0, 9, 4)",24
277,conv2d_4,"(1, 2, 7, 11)",2
278,conv2d_4,"(1, 0, 14, 7)",5
279,conv2d_4,"(2, 0, 5, 10)",29
280,conv2d_4,"(2, 0, 0, 0)",8
281,conv2d_4,"(2, 1, 12, 11)",21
282,conv2d_4,"(2, 2, 10, 14)",24
283,conv2d_4,"(1, 0, 8, 4)",15
284,conv2d_4,"(1, 0, 12, 0)",10
285,conv2d_4,"(2, 2, 0, 8)",21
286,conv2d_4,"(1, 2, 7, 14)",15
287,conv2d_4,"(1, 2, 3, 5)",17
288,conv2d_4,"(1, 0, 1, 14)",14
289,conv2d_4,"(0, 1, 2, 5)",21
290,conv2d_4,"(2, 1, 1, 7)",11
291,conv2d_4,"(2, 1, 3, 6)",7
292,conv2d_4,"(0, 2, 14, 11)",1
293,conv2d_4,"(1, 0, 12, 2)",18
294,conv2d_4,"(0, 1, 0, 13)",30
295,conv2d_4,"(2, 1, 7, 14)",23
296,conv2d_4,"(1, 0, 12, 9)",16
297,conv2d_4,"(2, 2, 4, 6)",16
298,conv2d_4,"(1, 2, 5, 13)",25
299,conv2d_4,"(1, 2, 10, 9)",20
300,conv2d_4,"(0, 1, 2, 1)",13
301,conv2d_4,"(0, 2, 14, 1)",4
302,conv2d_4,"(1, 1, 13, 13)",22
303,conv2d_4,"(1, 2, 2, 3)",21
304,conv2d_4,"(1, 0, 13, 11)",22
305,conv2d_4,"(0, 2, 13, 13)",16
306,conv2d_4,"(2, 0, 10, 2)",2
307,conv2d_4,"(0, 0, 15, 12)",18
308,conv2d_4,"(1, 1, 10, 10)",24
309,conv2d_4,"(0, 2, 8, 7)",15
310,conv2d_4,"(1, 0, 13, 14)",13
311,conv2d_4,"(1, 0, 13, 0)",9
312,conv2d_4,"(0, 2, 8, 2)",31
313,conv2d_4,"(0, 2, 1, 14)",20
314,conv2d_4,"(0, 1, 0, 2)",24
315,conv2d_4,"(0, 0, 7, 15)",20
316,conv2d_4,"(0, 0, 4, 4)",28
317,conv2d_4,"(2, 0, 14, 1)",24
318,conv2d_4,"(0, 0, 3, 15)",14
319,conv2d_4,"(0, 1, 1, 0)",14
320,conv2d_4,"(2, 0, 7, 13)",4
321,conv2d_4,"(2, 2, 13, 7)",27
322,conv2d_4,"(2, 2, 11, 4)",7
323,conv2d_4,"(1, 2, 11, 11)",12
324,conv2d_4,"(0, 1, 5, 5)",16
325,conv2d_4,"(2, 2, 12, 14)",7
326,conv2d_4,"(1, 2, 10, 15)",31
327,conv2d_4,"(0, 0, 15, 8)",28
328,conv2d_4,"(2, 1, 10, 10)",28
329,conv2d_4,"(1, 2, 15, 5)",13
330,conv2d_4,"(2, 1, 9, 3)",27
331,conv2d_4,"(0, 0, 6, 1)",6
332,conv2d_4,"(1, 1, 9, 14)",31
333,conv2d_4,"(2, 0, 12, 3)",22
334,conv2d_4,"(2, 0, 1, 5)",3
335,conv2d_4,"(1, 2, 3, 10)",23
336,conv2d_4,"(0, 0, 10, 7)",23
337,conv2d_4,"(0, 2, 13, 7)",30
338,conv2d_4,"(0, 2, 7, 9)",14
339,conv2d_4,"(0, 1, 6, 11)",5
340,conv2d_4,"(1, 2, 2, 4)",2
341,conv2d_4,"(0, 0, 12, 6)",29
342,conv2d_4,"(1, 0, 15, 14)",14
343,conv2d_4,"(0, 2, 1, 0)",19
344,conv2d_4,"(1, 1, 2, 1)",31
345,conv2d_4,"(0, 1, 2, 6)",25
346,conv2d_4,"(1, 2, 8, 10)",25
347,conv2d_4,"(2, 1, 8, 4)",9
348,conv2d_4,"(1, 0, 11, 2)",0
349,conv2d_4,"(1, 2, 13, 9)",7
350,conv2d_4,"(0, 1, 10, 13)",29
351,conv2d_4,"(1, 1, 4, 12)",12
352,conv2d_4,"(2, 2, 9, 3)",13
353,conv2d_4,"(0, 2, 6, 13)",16
354,conv2d_4,"(1, 1, 0, 11)",17
355,conv2d_4,"(2, 0, 7, 14)",1
356,conv2d_4,"(2, 1, 4, 12)",7
357,conv2d_4,"(2, 0, 1, 15)",13
358,conv2d_4,"(2, 1, 8, 11)",15
359,conv2d_4,"(1, 2, 7, 10)",14
360,conv2d_4,"(2, 1, 2, 6)",5
361,conv2d_5,"(1, 0, 0, 15)",31
362,conv2d_5,"(2, 0, 2, 9)",30
363,conv2d_5,"(0, 0, 12, 14)",8
364,conv2d_5,"(2, 1, 10, 6)",24
365,conv2d_5,"(2, 2, 12, 5)",30
366,conv2d_5,"(2, 2, 11, 9)",29
367,conv2d_5,"(0, 2, 8, 8)",17
368,conv2d_5,"(0, 1, 12, 3)",16
369,conv2d_5,"(1, 1, 4, 7)",19
370,conv2d_5,"(2, 0, 14, 13)",21
371,conv2d_5,"(1, 2, 3, 11)",0
372,conv2d_5,"(2, 0, 3, 11)",26
373,conv2d_5,"(0, 0, 5, 14)",20
374,conv2d_5,"(2, 2, 4, 11)",15
375,conv2d_5,"(0, 0, 12, 9)",15
376,conv2d_5,"(2, 0, 11, 2)",4
377,conv2d_5,"(2, 0, 9, 5)",23
378,conv2d_5,"(0, 2, 6, 5)",6
379,conv2d_5,"(2, 2, 13, 1)",9
380,conv2d_5,"(1, 2, 2, 2)",27
381,conv2d_5,"(2, 2, 4, 4)",30
382,conv2d_5,"(0, 0, 11, 8)",0
383,conv2d_5,"(2, 1, 5, 9)",10
384,conv2d_5,"(1, 2, 15, 4)",15
385,conv2d_5,"(0, 2, 0, 4)",2
386,conv2d_5,"(0, 1, 11, 3)",7
387,conv2d_5,"(2, 0, 12, 0)",25
388,conv2d_5,"(2, 1, 3, 3)",20
389,conv2d_5,"(1, 1, 10, 15)",29
390,conv2d_5,"(0, 0, 2, 12)",6
391,conv2d_5,"(2, 1, 4, 0)",9
392,conv2d_5,"(0, 0, 11, 0)",21
393,conv2d_5,"(1, 0, 14, 3)",13
394,conv2d_5,"(2, 2, 3, 13)",17
395,conv2d_5,"(1, 1, 4, 1)",3
396,conv2d_5,"(0, 2, 13, 10)",4
397,conv2d_5,"(0, 0, 8, 15)",6
398,conv2d_5,"(2, 2, 12, 15)",26
399,conv2d_5,"(2, 0, 13, 6)",14
400,conv2d_5,"(0, 0, 14, 10)",4
401,conv2d_5,"(2, 1, 4, 2)",12
402,conv2d_5,"(1, 1, 12, 1)",4
403,conv2d_5,"(0, 2, 5, 12)",13
404,conv2d_5,"(0, 2, 5, 6)",30
405,conv2d_5,"(1, 0, 5, 14)",4
406,conv2d_5,"(2, 2, 8, 12)",1
407,conv2d_5,"(2, 0, 9, 15)",28
408,conv2d_5,"(0, 0, 0, 9)",22
409,conv2d_5,"(2, 1, 8, 11)",20
410,conv2d_5,"(0, 2, 8, 15)",28
411,conv2d_5,"(2, 2, 6, 7)",22
412,conv2d_5,"(1, 2, 13, 3)",23
413,conv2d_5,"(1, 0, 14, 0)",16
414,conv2d_5,"(1, 1, 15, 8)",3
415,conv2d_5,"(1, 2, 14, 3)",13
416,conv2d_5,"(0, 0, 14, 2)",23
417,conv2d_5,"(0, 0, 0, 3)",28
418,conv2d_5,"(1, 0, 10, 12)",16
419,conv2d_5,"(0, 0, 4, 12)",24
420,conv2d_5,"(0, 2, 0, 11)",6
421,conv2d_5,"(2, 0, 3, 3)",10
422,conv2d_5,"(1, 0, 13, 7)",21
423,conv2d_5,"(0, 1, 9, 7)",6
424,conv2d_5,"(0, 0, 13, 10)",28
425,conv2d_5,"(2, 2, 13, 10)",0
426,conv2d_5,"(1, 1, 13, 6)",1
427,conv2d_5,"(1, 1, 8, 14)",19
428,conv2d_5,"(0, 0, 2, 1)",23
429,conv2d_5,"(0, 1, 7, 6)",9
430,conv2d_5,"(1, 2, 5, 2)",14
431,conv2d_5,"(2, 1, 2, 9)",14
432,conv2d_5,"(2, 1, 15, 13)",2
433,conv2d_5,"(0, 2, 2, 6)",1
434,conv2d_5,"(0, 1, 15, 13)",24
435,conv2d_5,"(2, 1, 15, 11)",13
436,conv2d_5,"(0, 2, 8, 11)",4
437,conv2d_5,"(0, 2, 11, 7)",15
438,conv2d_5,"(0, 1, 0, 12)",6
439,conv2d_5,"(1, 0, 2, 2)",7
440,conv2d_5,"(2, 1, 2, 12)",12
441,conv2d_5,"(1, 1, 2, 7)",20
442,conv2d_5,"(0, 0, 10, 1)",3
443,conv2d_5,"(2, 1, 12, 8)",9
444,conv2d_5,"(2, 0, 3, 1)",25
445,conv2d_5,"(0, 0, 10, 12)",5
446,conv2d_5,"(0, 2, 12, 2)",17
447,conv2d_6,"(0, 2, 14, 13)",19
448,conv2d_6,"(0, 1, 9, 6)",24
449,conv2d_6,"(1, 1, 1, 14)",24
450,conv2d_6,"(0, 0, 13, 2)",29
451,conv2d_6,"(0, 2, 6, 14)",7
452,conv2d_6,"(2, 1, 4, 13)",27
453,conv2d_6,"(2, 1, 11, 4)",20
454,conv2d_6,"(2, 0, 0, 0)",18
455,conv2d_6,"(1, 1, 10, 7)",23
456,conv2d_6,"(0, 1, 13, 12)",19
457,conv2d_6,"(0, 0, 2, 10)",17
458,conv2d_6,"(2, 2, 0, 5)",19
459,conv2d_6,"(1, 2, 14, 13)",13
460,conv2d_6,"(1, 1, 13, 4)",31
461,conv2d_6,"(2, 0, 11, 8)",17
462,conv2d_6,"(1, 2, 9, 1)",29
463,conv2d_6,"(2, 2, 3, 6)",10
464,conv2d_6,"(2, 1, 6, 2)",19
465,conv2d_6,"(2, 2, 2, 12)",8
466,conv2d_6,"(1, 1, 11, 9)",24
467,conv2d_6,"(0, 2, 5, 12)",6
468,conv2d_6,"(2, 2, 10, 14)",19
469,conv2d_6,"(2, 2, 4, 6)",16
470,conv2d_6,"(2, 2, 14, 4)",25
471,conv2d_6,"(0, 0, 0, 1)",19
472,conv2d_6,"(1, 2, 0, 5)",0
473,conv2d_6,"(2, 2, 5, 1)",25
474,conv2d_6,"(0, 1, 1, 4)",15
475,conv2d_6,"(0, 0, 2, 15)",31
476,conv2d_6,"(2, 1, 8, 7)",11
477,conv2d_6,"(0, 2, 14, 3)",5
478,conv2d_6,"(0, 1, 5, 10)",0
479,conv2d_6,"(1, 2, 5, 8)",23
480,conv2d_6,"(0, 0, 0, 3)",14
481,conv2d_6,"(0, 1, 1, 3)",5
482,conv2d_6,"(2, 2, 11, 7)",24
483,conv2d_6,"(0, 0, 5, 15)",26
484,conv2d_6,"(1, 0, 13, 15)",4
485,conv2d_6,"(1, 2, 11, 15)",24
486,conv2d_6,"(0, 2, 3, 6)",19
487,conv2d_6,"(0, 0, 4, 15)",0
488,conv2d_6,"(1, 0, 15, 10)",14
489,conv2d_6,"(0, 1, 3, 9)",15
490,conv2d_6,"(0, 2, 11, 5)",20
491,conv2d_6,"(0, 1, 7, 11)",8
492,conv2d_6,"(2, 2, 7, 13)",31
493,conv2d_6,"(2, 1, 5, 8)",25
494,conv2d_6,"(1, 2, 6, 8)",21
495,conv2d_6,"(0, 1, 9, 11)",15
496,conv2d_6,"(2, 2, 6, 11)",30
497,conv2d_6,"(1, 0, 11, 1)",19
498,conv2d_6,"(1, 2, 12, 8)",14
499,conv2d_6,"(2, 0, 6, 5)",14
500,conv2d_6,"(1, 0, 7, 3)",11
501,conv2d_6,"(2, 2, 1, 3)",9
502,conv2d_6,"(1, 1, 8, 10)",20
503,conv2d_6,"(2, 1, 13, 0)",12
504,conv2d_6,"(1, 1, 5, 4)",11
505,conv2d_6,"(2, 0, 12, 6)",19
506,conv2d_6,"(1, 2, 6, 14)",4
507,conv2d_6,"(2, 2, 1, 7)",5
508,conv2d_6,"(2, 0, 15, 8)",21
509,conv2d_6,"(1, 0, 11, 14)",5
510,conv2d_6,"(1, 2, 13, 7)",5
511,conv2d_6,"(1, 0, 9, 2)",20
512,conv2d_6,"(0, 0, 5, 4)",20
513,conv2d_6,"(0, 2, 0, 3)",12
514,conv2d_6,"(0, 1, 9, 0)",0
515,conv2d_6,"(0, 1, 11, 8)",17
516,conv2d_6,"(0, 2, 11, 3)",24
517,conv2d_6,"(0, 1, 11, 6)",17
518,conv2d_6,"(1, 0, 14, 3)",26
519,conv2d_6,"(2, 0, 8, 5)",23
520,conv2d_6,"(1, 0, 11, 8)",12
521,conv2d_6,"(0, 2, 2, 11)",1
522,conv2d_6,"(2, 0, 10, 1)",18
523,conv2d_6,"(0, 2, 12, 10)",30
524,conv2d_6,"(1, 0, 0, 4)",31
525,conv2d_6,"(1, 1, 14, 2)",2
526,conv2d_6,"(2, 1, 5, 0)",5
527,conv2d_6,"(1, 0, 4, 6)",3
528,conv2d_6,"(1, 1, 3, 3)",25
529,conv2d_6,"(0, 1, 10, 8)",24
530,conv2d_6,"(1, 1, 1, 7)",2
531,conv2d_6,"(2, 0, 6, 12)",13
532,conv2d_6,"(0, 1, 8, 1)",25
533,conv2d_7,"(1, 0, 0, 31)",28
534,conv2d_7,"(1, 1, 11, 25)",6
535,conv2d_7,"(0, 0, 3, 19)",19
536,conv2d_7,"(1, 2, 0, 23)",10
537,conv2d_7,"(1, 1, 9, 17)",23
538,conv2d_7,"(2, 1, 8, 19)",3
539,conv2d_7,"(2, 0, 5, 2)",26
540,conv2d_7,"(0, 2, 15, 5)",6
541,conv2d_7,"(0, 1, 4, 15)",1
542,conv2d_7,"(0, 1, 3, 26)",7
543,conv2d_7,"(0, 2, 4, 9)",2
544,conv2d_7,"(2, 2, 14, 2)",7
545,conv2d_7,"(1, 2, 6, 11)",2
546,conv2d_7,"(0, 0, 1, 11)",18
547,conv2d_7,"(1, 1, 3, 8)",27
548,conv2d_7,"(1, 1, 2, 21)",23
549,conv2d_7,"(0, 0, 12, 18)",4
550,conv2d_7,"(2, 0, 11, 15)",30
551,conv2d_7,"(0, 1, 12, 19)",14
552,conv2d_7,"(1, 0, 10, 9)",10
553,conv2d_7,"(2, 2, 14, 29)",14
554,conv2d_7,"(0, 2, 4, 0)",24
555,conv2d_7,"(2, 1, 14, 18)",15
556,conv2d_7,"(1, 0, 0, 3)",29
557,conv2d_7,"(1, 2, 1, 18)",2
558,conv2d_7,"(0, 0, 0, 30)",21
