Injection,Layer,TensorIndex,Bit
113,conv2d_2,"(0, 0, 8, 10)",8
114,conv2d_2,"(1, 1, 2, 2)",26
115,conv2d_2,"(0, 1, 13, 12)",17
116,conv2d_2,"(2, 2, 8, 2)",21
117,conv2d_2,"(1, 0, 8, 4)",10
118,conv2d_2,"(0, 2, 8, 10)",6
119,conv2d_2,"(1, 2, 6, 11)",9
120,conv2d_2,"(1, 2, 4, 12)",22
121,conv2d_2,"(1, 2, 2, 12)",22
122,conv2d_2,"(2, 0, 8, 6)",3
123,conv2d_2,"(1, 0, 14, 0)",27
124,conv2d_2,"(1, 2, 8, 2)",13
125,conv2d_2,"(1, 0, 14, 11)",30
126,conv2d_2,"(0, 0, 2, 15)",5
127,conv2d_2,"(0, 0, 7, 3)",12
128,conv2d_2,"(1, 0, 5, 10)",6
129,conv2d_2,"(2, 0, 2, 10)",2
130,conv2d_2,"(0, 2, 12, 9)",16
131,conv2d_2,"(0, 0, 7, 2)",14
132,conv2d_2,"(0, 2, 6, 9)",26
133,conv2d_2,"(1, 1, 2, 9)",7
134,conv2d_2,"(2, 0, 11, 14)",24
135,conv2d_2,"(2, 0, 14, 8)",10
136,conv2d_2,"(0, 1, 8, 1)",24
137,conv2d_2,"(1, 2, 4, 1)",9
138,conv2d_2,"(1, 1, 5, 9)",15
139,conv2d_2,"(1, 2, 12, 0)",16
140,conv2d_2,"(0, 2, 15, 7)",9
141,conv2d_2,"(2, 0, 10, 1)",25
142,conv2d_2,"(2, 1, 11, 14)",20
143,conv2d_2,"(1, 0, 15, 9)",6
144,conv2d_2,"(2, 1, 8, 4)",9
145,conv2d_2,"(2, 1, 4, 4)",31
146,conv2d_2,"(0, 1, 2, 5)",10
147,conv2d_2,"(0, 2, 1, 2)",0
148,conv2d_2,"(1, 2, 13, 12)",13
149,conv2d_2,"(2, 2, 1, 11)",10
150,conv2d_2,"(1, 0, 2, 10)",6
151,conv2d_2,"(1, 2, 14, 5)",17
152,conv2d_2,"(0, 2, 1, 12)",24
153,conv2d_2,"(2, 2, 6, 4)",14
154,conv2d_2,"(0, 0, 9, 5)",9
155,conv2d_2,"(1, 2, 8, 11)",4
156,conv2d_2,"(1, 0, 8, 11)",1
157,conv2d_2,"(0, 2, 8, 11)",11
158,conv2d_2,"(2, 0, 8, 3)",17
159,conv2d_2,"(2, 0, 6, 12)",11
160,conv2d_2,"(1, 0, 4, 0)",8
161,conv2d_2,"(0, 0, 2, 3)",15
162,conv2d_2,"(1, 0, 3, 1)",22
163,conv2d_2,"(2, 0, 15, 15)",30
164,conv2d_2,"(1, 2, 2, 8)",20
165,conv2d_2,"(0, 2, 13, 15)",14
166,conv2d_2,"(2, 0, 0, 13)",13
167,conv2d_2,"(2, 2, 8, 10)",15
168,conv2d_2,"(1, 2, 2, 13)",20
169,conv2d_2,"(0, 0, 15, 11)",16
170,conv2d_2,"(0, 0, 15, 3)",27
171,conv2d_2,"(0, 1, 8, 7)",22
172,conv2d_2,"(1, 1, 15, 4)",15
173,conv2d_2,"(1, 1, 3, 0)",0
174,conv2d_2,"(0, 2, 14, 10)",7
175,conv2d_2,"(1, 2, 2, 10)",19
176,conv2d_2,"(2, 0, 2, 2)",6
177,conv2d_2,"(1, 2, 3, 9)",16
178,conv2d_2,"(1, 1, 8, 6)",8
179,conv2d_2,"(2, 0, 5, 7)",7
180,conv2d_2,"(1, 2, 6, 13)",7
181,conv2d_2,"(2, 0, 13, 12)",27
182,conv2d_2,"(0, 2, 9, 4)",7
183,conv2d_2,"(1, 0, 6, 4)",20
184,conv2d_2,"(0, 1, 15, 14)",12
185,conv2d_2,"(2, 0, 8, 13)",11
186,conv2d_2,"(1, 0, 6, 7)",27
187,conv2d_2,"(0, 1, 5, 1)",19
188,conv2d_2,"(2, 1, 14, 3)",15
189,conv2d_3,"(2, 0, 11, 1)",25
190,conv2d_3,"(2, 0, 8, 11)",5
191,conv2d_3,"(2, 1, 3, 0)",7
192,conv2d_3,"(0, 2, 3, 13)",11
193,conv2d_3,"(1, 2, 9, 0)",2
194,conv2d_3,"(2, 2, 5, 11)",16
195,conv2d_3,"(2, 2, 5, 3)",4
196,conv2d_3,"(2, 1, 9, 5)",16
197,conv2d_3,"(1, 2, 14, 0)",28
198,conv2d_3,"(0, 0, 9, 10)",6
199,conv2d_3,"(1, 0, 2, 1)",23
200,conv2d_3,"(0, 2, 5, 11)",5
201,conv2d_3,"(2, 1, 15, 14)",2
202,conv2d_3,"(0, 2, 5, 7)",11
203,conv2d_3,"(0, 1, 7, 4)",27
204,conv2d_3,"(2, 0, 1, 8)",25
205,conv2d_3,"(2, 0, 12, 4)",29
206,conv2d_3,"(1, 2, 13, 10)",19
207,conv2d_3,"(1, 2, 12, 2)",28
208,conv2d_3,"(2, 0, 12, 10)",1
209,conv2d_3,"(1, 1, 13, 0)",14
210,conv2d_3,"(1, 1, 8, 5)",23
211,conv2d_3,"(2, 1, 2, 13)",4
212,conv2d_3,"(0, 0, 5, 9)",1
213,conv2d_3,"(2, 0, 5, 2)",16
214,conv2d_3,"(1, 2, 5, 3)",1
215,conv2d_3,"(2, 2, 5, 15)",3
216,conv2d_3,"(0, 0, 11, 3)",0
217,conv2d_3,"(2, 0, 12, 7)",17
218,conv2d_3,"(1, 2, 4, 10)",8
219,conv2d_3,"(0, 2, 4, 15)",29
220,conv2d_3,"(0, 1, 4, 11)",9
221,conv2d_3,"(1, 2, 9, 6)",17
222,conv2d_3,"(1, 0, 1, 3)",16
223,conv2d_3,"(2, 0, 8, 14)",11
224,conv2d_3,"(1, 1, 15, 8)",19
225,conv2d_3,"(1, 2, 10, 6)",13
226,conv2d_3,"(1, 2, 1, 14)",18
227,conv2d_3,"(1, 2, 6, 3)",13
228,conv2d_3,"(1, 1, 5, 6)",4
229,conv2d_3,"(2, 0, 5, 15)",9
230,conv2d_3,"(0, 2, 3, 9)",24
231,conv2d_3,"(0, 2, 4, 7)",10
232,conv2d_3,"(1, 0, 15, 8)",11
233,conv2d_3,"(1, 1, 2, 7)",24
234,conv2d_3,"(1, 1, 14, 9)",31
235,conv2d_3,"(0, 2, 1, 8)",23
236,conv2d_3,"(2, 1, 5, 15)",25
237,conv2d_3,"(0, 0, 5, 5)",30
238,conv2d_3,"(0, 2, 8, 9)",21
239,conv2d_3,"(2, 1, 4, 0)",19
240,conv2d_3,"(1, 0, 10, 9)",15
241,conv2d_3,"(2, 2, 10, 3)",24
242,conv2d_3,"(1, 2, 4, 6)",16
243,conv2d_3,"(0, 1, 9, 13)",19
244,conv2d_3,"(2, 1, 11, 7)",13
245,conv2d_3,"(2, 1, 6, 12)",3
246,conv2d_3,"(2, 2, 1, 5)",26
247,conv2d_3,"(2, 2, 0, 9)",0
248,conv2d_3,"(2, 1, 8, 14)",22
249,conv2d_3,"(1, 2, 14, 14)",9
250,conv2d_3,"(1, 1, 4, 11)",24
251,conv2d_3,"(1, 2, 8, 14)",27
252,conv2d_3,"(0, 0, 10, 11)",6
253,conv2d_3,"(2, 1, 9, 15)",21
254,conv2d_3,"(2, 2, 12, 13)",0
255,conv2d_3,"(1, 0, 3, 6)",7
256,conv2d_3,"(0, 1, 14, 9)",22
257,conv2d_3,"(0, 0, 11, 8)",30
258,conv2d_3,"(2, 2, 14, 13)",30
259,conv2d_3,"(0, 1, 8, 5)",22
260,conv2d_3,"(1, 1, 14, 0)",30
261,conv2d_3,"(0, 2, 11, 5)",22
262,conv2d_3,"(2, 2, 0, 5)",4
263,conv2d_3,"(1, 1, 10, 9)",21
264,conv2d_3,"(0, 2, 11, 1)",16
265,conv2d_3,"(1, 2, 14, 3)",7
266,conv2d_3,"(2, 1, 2, 7)",16
267,conv2d_3,"(0, 2, 5, 9)",1
268,conv2d_3,"(1, 1, 4, 3)",10
269,conv2d_3,"(0, 1, 1, 15)",15
270,conv2d_3,"(0, 2, 4, 3)",24
271,conv2d_3,"(1, 1, 5, 0)",24
272,conv2d_3,"(1, 0, 5, 7)",0
273,conv2d_3,"(0, 2, 11, 7)",26
274,conv2d_3,"(2, 0, 0, 10)",18
275,conv2d_4,"(1, 0, 9, 5)",17
276,conv2d_4,"(0, 0, 9, 4)",14
277,conv2d_4,"(1, 2, 7, 11)",30
278,conv2d_4,"(1, 0, 14, 7)",11
279,conv2d_4,"(2, 0, 5, 10)",22
280,conv2d_4,"(2, 0, 0, 0)",6
281,conv2d_4,"(2, 1, 12, 11)",22
282,conv2d_4,"(2, 2, 10, 14)",17
283,conv2d_4,"(1, 0, 8, 4)",31
284,conv2d_4,"(1, 0, 12, 0)",7
285,conv2d_4,"(2, 2, 0, 8)",5
286,conv2d_4,"(1, 2, 7, 14)",14
287,conv2d_4,"(1, 2, 3, 5)",30
288,conv2d_4,"(1, 0, 1, 14)",16
289,conv2d_4,"(0, 1, 2, 5)",4
290,conv2d_4,"(2, 1, 1, 7)",0
291,conv2d_4,"(2, 1, 3, 6)",17
292,conv2d_4,"(0, 2, 14, 11)",18
293,conv2d_4,"(1, 0, 12, 2)",26
294,conv2d_4,"(0, 1, 0, 13)",18
295,conv2d_4,"(2, 1, 7, 14)",5
296,conv2d_4,"(1, 0, 12, 9)",13
297,conv2d_4,"(2, 2, 4, 6)",26
298,conv2d_4,"(1, 2, 5, 13)",6
299,conv2d_4,"(1, 2, 10, 9)",25
300,conv2d_4,"(0, 1, 2, 1)",15
301,conv2d_4,"(0, 2, 14, 1)",5
302,conv2d_4,"(1, 1, 13, 13)",7
303,conv2d_4,"(1, 2, 2, 3)",5
304,conv2d_4,"(1, 0, 13, 11)",27
305,conv2d_4,"(0, 2, 13, 13)",17
306,conv2d_4,"(2, 0, 10, 2)",9
307,conv2d_4,"(0, 0, 15, 12)",14
308,conv2d_4,"(1, 1, 10, 10)",1
309,conv2d_4,"(0, 2, 8, 7)",26
310,conv2d_4,"(1, 0, 13, 14)",7
311,conv2d_4,"(1, 0, 13, 0)",9
312,conv2d_4,"(0, 2, 8, 2)",6
313,conv2d_4,"(0, 2, 1, 14)",15
314,conv2d_4,"(0, 1, 0, 2)",13
315,conv2d_4,"(0, 0, 7, 15)",22
316,conv2d_4,"(0, 0, 4, 4)",29
317,conv2d_4,"(2, 0, 14, 1)",14
318,conv2d_4,"(0, 0, 3, 15)",4
319,conv2d_4,"(0, 1, 1, 0)",16
320,conv2d_4,"(2, 0, 7, 13)",10
321,conv2d_4,"(2, 2, 13, 7)",26
322,conv2d_4,"(2, 2, 11, 4)",25
323,conv2d_4,"(1, 2, 11, 11)",16
324,conv2d_4,"(0, 1, 5, 5)",15
325,conv2d_4,"(2, 2, 12, 14)",30
326,conv2d_4,"(1, 2, 10, 15)",24
327,conv2d_4,"(0, 0, 15, 8)",27
328,conv2d_4,"(2, 1, 10, 10)",6
329,conv2d_4,"(1, 2, 15, 5)",19
330,conv2d_4,"(2, 1, 9, 3)",10
331,conv2d_4,"(0, 0, 6, 1)",17
332,conv2d_4,"(1, 1, 9, 14)",12
333,conv2d_4,"(2, 0, 12, 3)",23
334,conv2d_4,"(2, 0, 1, 5)",28
335,conv2d_4,"(1, 2, 3, 10)",20
336,conv2d_4,"(0, 0, 10, 7)",31
337,conv2d_4,"(0, 2, 13, 7)",13
338,conv2d_4,"(0, 2, 7, 9)",23
339,conv2d_4,"(0, 1, 6, 11)",2
340,conv2d_4,"(1, 2, 2, 4)",18
341,conv2d_4,"(0, 0, 12, 6)",4
342,conv2d_4,"(1, 0, 15, 14)",11
343,conv2d_4,"(0, 2, 1, 0)",1
344,conv2d_4,"(1, 1, 2, 1)",1
345,conv2d_4,"(0, 1, 2, 6)",22
346,conv2d_4,"(1, 2, 8, 10)",6
347,conv2d_4,"(2, 1, 8, 4)",16
348,conv2d_4,"(1, 0, 11, 2)",30
349,conv2d_4,"(1, 2, 13, 9)",30
350,conv2d_4,"(0, 1, 10, 13)",3
351,conv2d_4,"(1, 1, 4, 12)",25
352,conv2d_4,"(2, 2, 9, 3)",4
353,conv2d_4,"(0, 2, 6, 13)",18
354,conv2d_4,"(1, 1, 0, 11)",19
355,conv2d_4,"(2, 0, 7, 14)",9
356,conv2d_4,"(2, 1, 4, 12)",22
357,conv2d_4,"(2, 0, 1, 15)",4
358,conv2d_4,"(2, 1, 8, 11)",28
359,conv2d_4,"(1, 2, 7, 10)",30
360,conv2d_4,"(2, 1, 2, 6)",26
361,conv2d_5,"(1, 0, 0, 15)",15
362,conv2d_5,"(2, 0, 2, 9)",10
363,conv2d_5,"(0, 0, 12, 14)",30
364,conv2d_5,"(2, 1, 10, 6)",19
365,conv2d_5,"(2, 2, 12, 5)",30
366,conv2d_5,"(2, 2, 11, 9)",29
367,conv2d_5,"(0, 2, 8, 8)",3
368,conv2d_5,"(0, 1, 12, 3)",21
369,conv2d_5,"(1, 1, 4, 7)",28
370,conv2d_5,"(2, 0, 14, 13)",25
371,conv2d_5,"(1, 2, 3, 11)",12
372,conv2d_5,"(2, 0, 3, 11)",10
373,conv2d_5,"(0, 0, 5, 14)",30
374,conv2d_5,"(2, 2, 4, 11)",0
375,conv2d_5,"(0, 0, 12, 9)",2
376,conv2d_5,"(2, 0, 11, 2)",20
377,conv2d_5,"(2, 0, 9, 5)",10
378,conv2d_5,"(0, 2, 6, 5)",27
379,conv2d_5,"(2, 2, 13, 1)",27
380,conv2d_5,"(1, 2, 2, 2)",8
381,conv2d_5,"(2, 2, 4, 4)",31
382,conv2d_5,"(0, 0, 11, 8)",28
383,conv2d_5,"(2, 1, 5, 9)",12
384,conv2d_5,"(1, 2, 15, 4)",30
385,conv2d_5,"(0, 2, 0, 4)",0
386,conv2d_5,"(0, 1, 11, 3)",22
387,conv2d_5,"(2, 0, 12, 0)",2
388,conv2d_5,"(2, 1, 3, 3)",0
389,conv2d_5,"(1, 1, 10, 15)",3
390,conv2d_5,"(0, 0, 2, 12)",0
391,conv2d_5,"(2, 1, 4, 0)",9
392,conv2d_5,"(0, 0, 11, 0)",5
393,conv2d_5,"(1, 0, 14, 3)",2
394,conv2d_5,"(2, 2, 3, 13)",1
395,conv2d_5,"(1, 1, 4, 1)",3
396,conv2d_5,"(0, 2, 13, 10)",24
397,conv2d_5,"(0, 0, 8, 15)",21
398,conv2d_5,"(2, 2, 12, 15)",0
399,conv2d_5,"(2, 0, 13, 6)",8
400,conv2d_5,"(0, 0, 14, 10)",17
401,conv2d_5,"(2, 1, 4, 2)",31
402,conv2d_5,"(1, 1, 12, 1)",7
403,conv2d_5,"(0, 2, 5, 12)",27
404,conv2d_5,"(0, 2, 5, 6)",16
405,conv2d_5,"(1, 0, 5, 14)",0
406,conv2d_5,"(2, 2, 8, 12)",31
407,conv2d_5,"(2, 0, 9, 15)",10
408,conv2d_5,"(0, 0, 0, 9)",10
409,conv2d_5,"(2, 1, 8, 11)",16
410,conv2d_5,"(0, 2, 8, 15)",29
411,conv2d_5,"(2, 2, 6, 7)",9
412,conv2d_5,"(1, 2, 13, 3)",3
413,conv2d_5,"(1, 0, 14, 0)",2
414,conv2d_5,"(1, 1, 15, 8)",20
415,conv2d_5,"(1, 2, 14, 3)",31
416,conv2d_5,"(0, 0, 14, 2)",20
417,conv2d_5,"(0, 0, 0, 3)",27
418,conv2d_5,"(1, 0, 10, 12)",19
419,conv2d_5,"(0, 0, 4, 12)",19
420,conv2d_5,"(0, 2, 0, 11)",24
421,conv2d_5,"(2, 0, 3, 3)",8
422,conv2d_5,"(1, 0, 13, 7)",13
423,conv2d_5,"(0, 1, 9, 7)",7
424,conv2d_5,"(0, 0, 13, 10)",9
425,conv2d_5,"(2, 2, 13, 10)",9
426,conv2d_5,"(1, 1, 13, 6)",3
427,conv2d_5,"(1, 1, 8, 14)",30
428,conv2d_5,"(0, 0, 2, 1)",9
429,conv2d_5,"(0, 1, 7, 6)",19
430,conv2d_5,"(1, 2, 5, 2)",4
431,conv2d_5,"(2, 1, 2, 9)",16
432,conv2d_5,"(2, 1, 15, 13)",29
433,conv2d_5,"(0, 2, 2, 6)",27
434,conv2d_5,"(0, 1, 15, 13)",6
435,conv2d_5,"(2, 1, 15, 11)",6
436,conv2d_5,"(0, 2, 8, 11)",21
437,conv2d_5,"(0, 2, 11, 7)",18
438,conv2d_5,"(0, 1, 0, 12)",0
439,conv2d_5,"(1, 0, 2, 2)",25
440,conv2d_5,"(2, 1, 2, 12)",1
441,conv2d_5,"(1, 1, 2, 7)",19
442,conv2d_5,"(0, 0, 10, 1)",20
443,conv2d_5,"(2, 1, 12, 8)",31
444,conv2d_5,"(2, 0, 3, 1)",22
445,conv2d_5,"(0, 0, 10, 12)",31
446,conv2d_5,"(0, 2, 12, 2)",10
447,conv2d_6,"(0, 2, 14, 13)",17
448,conv2d_6,"(0, 1, 9, 6)",5
449,conv2d_6,"(1, 1, 1, 14)",31
450,conv2d_6,"(0, 0, 13, 2)",4
451,conv2d_6,"(0, 2, 6, 14)",13
452,conv2d_6,"(2, 1, 4, 13)",22
453,conv2d_6,"(2, 1, 11, 4)",10
454,conv2d_6,"(2, 0, 0, 0)",11
455,conv2d_6,"(1, 1, 10, 7)",12
456,conv2d_6,"(0, 1, 13, 12)",24
457,conv2d_6,"(0, 0, 2, 10)",11
458,conv2d_6,"(2, 2, 0, 5)",14
459,conv2d_6,"(1, 2, 14, 13)",31
460,conv2d_6,"(1, 1, 13, 4)",27
461,conv2d_6,"(2, 0, 11, 8)",31
462,conv2d_6,"(1, 2, 9, 1)",17
463,conv2d_6,"(2, 2, 3, 6)",20
464,conv2d_6,"(2, 1, 6, 2)",27
465,conv2d_6,"(2, 2, 2, 12)",31
466,conv2d_6,"(1, 1, 11, 9)",24
467,conv2d_6,"(0, 2, 5, 12)",23
468,conv2d_6,"(2, 2, 10, 14)",7
469,conv2d_6,"(2, 2, 4, 6)",29
470,conv2d_6,"(2, 2, 14, 4)",6
471,conv2d_6,"(0, 0, 0, 1)",27
472,conv2d_6,"(1, 2, 0, 5)",12
473,conv2d_6,"(2, 2, 5, 1)",24
474,conv2d_6,"(0, 1, 1, 4)",18
475,conv2d_6,"(0, 0, 2, 15)",7
476,conv2d_6,"(2, 1, 8, 7)",28
477,conv2d_6,"(0, 2, 14, 3)",10
478,conv2d_6,"(0, 1, 5, 10)",12
479,conv2d_6,"(1, 2, 5, 8)",12
480,conv2d_6,"(0, 0, 0, 3)",3
481,conv2d_6,"(0, 1, 1, 3)",7
482,conv2d_6,"(2, 2, 11, 7)",9
483,conv2d_6,"(0, 0, 5, 15)",12
484,conv2d_6,"(1, 0, 13, 15)",23
485,conv2d_6,"(1, 2, 11, 15)",5
486,conv2d_6,"(0, 2, 3, 6)",9
487,conv2d_6,"(0, 0, 4, 15)",17
488,conv2d_6,"(1, 0, 15, 10)",0
489,conv2d_6,"(0, 1, 3, 9)",12
490,conv2d_6,"(0, 2, 11, 5)",13
491,conv2d_6,"(0, 1, 7, 11)",18
492,conv2d_6,"(2, 2, 7, 13)",30
493,conv2d_6,"(2, 1, 5, 8)",25
494,conv2d_6,"(1, 2, 6, 8)",26
495,conv2d_6,"(0, 1, 9, 11)",7
496,conv2d_6,"(2, 2, 6, 11)",2
497,conv2d_6,"(1, 0, 11, 1)",13
498,conv2d_6,"(1, 2, 12, 8)",3
499,conv2d_6,"(2, 0, 6, 5)",27
500,conv2d_6,"(1, 0, 7, 3)",20
501,conv2d_6,"(2, 2, 1, 3)",22
502,conv2d_6,"(1, 1, 8, 10)",4
503,conv2d_6,"(2, 1, 13, 0)",16
504,conv2d_6,"(1, 1, 5, 4)",19
505,conv2d_6,"(2, 0, 12, 6)",23
506,conv2d_6,"(1, 2, 6, 14)",25
507,conv2d_6,"(2, 2, 1, 7)",5
508,conv2d_6,"(2, 0, 15, 8)",24
509,conv2d_6,"(1, 0, 11, 14)",15
510,conv2d_6,"(1, 2, 13, 7)",19
511,conv2d_6,"(1, 0, 9, 2)",26
512,conv2d_6,"(0, 0, 5, 4)",13
513,conv2d_6,"(0, 2, 0, 3)",1
514,conv2d_6,"(0, 1, 9, 0)",13
515,conv2d_6,"(0, 1, 11, 8)",25
516,conv2d_6,"(0, 2, 11, 3)",7
517,conv2d_6,"(0, 1, 11, 6)",20
518,conv2d_6,"(1, 0, 14, 3)",0
519,conv2d_6,"(2, 0, 8, 5)",20
520,conv2d_6,"(1, 0, 11, 8)",1
521,conv2d_6,"(0, 2, 2, 11)",9
522,conv2d_6,"(2, 0, 10, 1)",23
523,conv2d_6,"(0, 2, 12, 10)",0
524,conv2d_6,"(1, 0, 0, 4)",7
525,conv2d_6,"(1, 1, 14, 2)",5
526,conv2d_6,"(2, 1, 5, 0)",22
527,conv2d_6,"(1, 0, 4, 6)",20
528,conv2d_6,"(1, 1, 3, 3)",0
529,conv2d_6,"(0, 1, 10, 8)",6
530,conv2d_6,"(1, 1, 1, 7)",31
531,conv2d_6,"(2, 0, 6, 12)",11
532,conv2d_6,"(0, 1, 8, 1)",22
533,conv2d_7,"(1, 0, 0, 31)",9
534,conv2d_7,"(1, 1, 11, 25)",4
535,conv2d_7,"(0, 0, 3, 19)",0
536,conv2d_7,"(1, 2, 0, 23)",21
537,conv2d_7,"(1, 1, 9, 17)",8
538,conv2d_7,"(2, 1, 8, 19)",21
539,conv2d_7,"(2, 0, 5, 2)",19
540,conv2d_7,"(0, 2, 15, 5)",12
541,conv2d_7,"(0, 1, 4, 15)",10
542,conv2d_7,"(0, 1, 3, 26)",1
543,conv2d_7,"(0, 2, 4, 9)",2
544,conv2d_7,"(2, 2, 14, 2)",16
545,conv2d_7,"(1, 2, 6, 11)",22
546,conv2d_7,"(0, 0, 1, 11)",18
547,conv2d_7,"(1, 1, 3, 8)",15
548,conv2d_7,"(1, 1, 2, 21)",29
549,conv2d_7,"(0, 0, 12, 18)",5
550,conv2d_7,"(2, 0, 11, 15)",9
551,conv2d_7,"(0, 1, 12, 19)",11
552,conv2d_7,"(1, 0, 10, 9)",0
553,conv2d_7,"(2, 2, 14, 29)",20
554,conv2d_7,"(0, 2, 4, 0)",0
555,conv2d_7,"(2, 1, 14, 18)",30
556,conv2d_7,"(1, 0, 0, 3)",1
557,conv2d_7,"(1, 2, 1, 18)",14
558,conv2d_7,"(0, 0, 0, 30)",20
